"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.59755102","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.42","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.43004784","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.48894977","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.46188940","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.38654105","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.43","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.39363354","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.33734939","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.46816788","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.61","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.40166507","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.40370360","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.50033217","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.74282238","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","1.5","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","1.30357142","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","1.09523809","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.63913043","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.7","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","1.11976782","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.93852941","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.94561965","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Isiolo","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.38260869","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Isiolo","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.5","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Isiolo","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.38310810","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Isiolo","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.83108108","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Isiolo","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.57446808","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.49738806","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.71","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","1.4175","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.46578947","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
