"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","12.3837230","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","13.6433994","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","13.5787057","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","11.5948726","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","9.61864406","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.44402985","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.51827485","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","5.25978647","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.12203389","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","0","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","3","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","6.07692307","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","4.21656128","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","4.96734397","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","4.3","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","9.67717614","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","6.4","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","6.65116279","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.94117647","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","8.5","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","11.7857142","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kericho","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","9","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kericho","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.73243697","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kericho","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","11","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kericho","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","11","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kericho","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","12.1","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","4.55938600","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","6.87333719","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
