"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.09046079","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.58411215","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.24306418","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.51521918","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.61546703","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","3.28792284","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","3.38203898","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","2.74335746","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","2.28077823","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","3.48274727","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.83189442","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.12541986","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.87343075","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.29203616","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.72733333","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.70588235","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.48965517","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.65420560","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.41142692","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.42671678","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.19812438","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Isiolo","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.41320754","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Isiolo","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.07164179","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Isiolo","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.94557823","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Isiolo","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.73062015","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Isiolo","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.68847656","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.92450174","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.03905890","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.59567387","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.40618489","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","2.71521488","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
