"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Isiolo","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Meru","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.77185136","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.17602140","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.54137696","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.38805248","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.35056415","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.09368808","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bomet","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.92794788","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bomet","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","2.27251732","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bomet","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","2.07453567","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.50423330","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.52858001","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.49796238","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.22368217","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.64716999","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.15517652","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.78778341","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.00699841","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.01449275","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.20923076","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.23648648","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.27312925","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.86231343","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.18915235","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.91362621","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.27033865","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.42441860","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","2.41975308","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.02898550","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.88679245","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.85384615","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.07628381","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.04382590","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.20644385","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.16279069","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.16279069","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.44666666","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.5","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.25101214","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.30408268","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.15160061","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.66746447","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kericho","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.8","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kericho","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.95942857","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kericho","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.8","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kericho","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.35","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kericho","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.08","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.70940170","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.87678571","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.4","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.18843672","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.28644501","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
