"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","0","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","25","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","14.3036599","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","14.5769230","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","0.44444444","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kericho","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","12.1","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","10.7059196","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","3.85384615","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisumu","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","9.31947069","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","4.34917355","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","4.00228833","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Migori","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","14.3227532","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nandi","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","13.6256983","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Narok","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","11","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyandarua","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","7.5","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyeri","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","7.06179775","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Taita Taveta","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","15.6485148","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Vihiga","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","11.4634873","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Vihiga","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","11.5552631","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","6.52849740","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","10.0729927","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","18.5","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","17.75","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bomet","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","18.3870967","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bomet","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","20.1790510","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bomet","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","20.2865085","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bomet","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","18.7757285","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bomet","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","5.04161712","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","13.7904822","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","13.5375508","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","16.3501745","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","16.7959385","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","12.7193083","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","27.8477910","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","18.3875442","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","20","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","15.7785467","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","11.7752809","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","12.0956521","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","15.7560975","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","13.8117647","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","10.3176895","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","13.6425559","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","12.6345029","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","5.48120300","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","10.5843520","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","13.0924031","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","13.8170189","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","13.2259261","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Homabay","Crops Productivity","Crops Primary","Crop Yield","Sweet Potatoes (Yield)","13.8270255","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
