Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01311","Avocados","2022","2022","1000 Int$","403364","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01311","Avocados","2023","2023","1000 Int$","495324","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01311","Avocados","2022","2022","1000 SLC","12594874","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01311","Avocados","2023","2023","1000 SLC","16233627","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01311","Avocados","2022","2022","1000 SLC","8393853","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01311","Avocados","2023","2023","1000 SLC","10307517","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01311","Avocados","2022","2022","1000 USD","106858","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01311","Avocados","2023","2023","1000 USD","116082","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01311","Avocados","2022","2022","1000 USD","87736","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01311","Avocados","2023","2023","1000 USD","107738","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","2022","2022","1000 Int$","729894","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","2023","2023","1000 Int$","1033678","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01312","Bananas","2022","2022","1000 SLC","27453525","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01312","Bananas","2023","2023","1000 SLC","39725695","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01312","Bananas","2022","2022","1000 SLC","81714006","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01312","Bananas","2023","2023","1000 SLC","115723689","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01312","Bananas","2022","2022","1000 USD","232922","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01312","Bananas","2023","2023","1000 USD","284067","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01312","Bananas","2022","2022","1000 USD","857794","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01312","Bananas","2023","2023","1000 USD","1214812","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01610","Coffee, green","2022","2022","1000 Int$","108454","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01610","Coffee, green","2023","2023","1000 Int$","101767","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01610","Coffee, green","2022","2022","1000 SLC","25364257","A","Official figure"
