Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01311","Avocados","2022","2022","kg/ha","17203.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01311","Avocados","2022","2022","t","441600","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01311","Avocados","2023","2023","kg/ha","16222.3","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01311","Avocados","2023","2023","t","542277.78","I","Imputed value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01312","Bananas","2022","2022","kg/ha","28587.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01312","Bananas","2022","2022","t","2052600","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01312","Bananas","2023","2023","kg/ha","36682","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01312","Bananas","2023","2023","t","2906900","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2022","2022","kg/ha","591.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01701","Beans, dry","2022","2022","t","750120","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2023","2023","kg/ha","705.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01701","Beans, dry","2023","2023","t","860973","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01212","Cabbages","2022","2022","kg/ha","39660.8","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01212","Cabbages","2022","2022","t","1382100","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01212","Cabbages","2023","2023","kg/ha","32822.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01212","Cabbages","2023","2023","t","1042800","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01460","Coconuts, in shell","2022","2022","kg/ha","992.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01460","Coconuts, in shell","2022","2022","t","71722","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01460","Coconuts, in shell","2023","2023","kg/ha","1103.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01460","Coconuts, in shell","2023","2023","t","81667","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01657","Ginger, raw","2022","2022","kg/ha","12096.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01657","Ginger, raw","2022","2022","t","916.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01657","Ginger, raw","2023","2023","kg/ha","12256.3","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01657","Ginger, raw","2023","2023","t","740.36","I","Imputed value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","1458.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","0112","Maize (corn)","2022","2022","t","3082220","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","1763.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","0112","Maize (corn)","2023","2023","t","4285206","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","kg/ha","14869.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","t","158400","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","kg/ha","14752.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","t","163100","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01318","Pineapples","2022","2022","kg/ha","29288.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01318","Pineapples","2022","2022","t","252700","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01318","Pineapples","2023","2023","kg/ha","20697","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01318","Pineapples","2023","2023","t","97400","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01510","Potatoes","2022","2022","kg/ha","7911.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01510","Potatoes","2022","2022","t","1831809","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01510","Potatoes","2023","2023","kg/ha","9651.8","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01510","Potatoes","2023","2023","t","2309913","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0113","Rice","2022","2022","kg/ha","4345.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","0113","Rice","2022","2022","t","192299","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0113","Rice","2023","2023","kg/ha","5882.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","0113","Rice","2023","2023","t","229064","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01215","Spinach","2022","2022","kg/ha","13508","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01215","Spinach","2022","2022","t","157368","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01215","Spinach","2023","2023","kg/ha","14200.6","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01215","Spinach","2023","2023","t","158715.98","I","Imputed value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01530","Sweet potatoes","2022","2022","kg/ha","12239.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01530","Sweet potatoes","2022","2022","t","597900","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01530","Sweet potatoes","2023","2023","kg/ha","12294.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01530","Sweet potatoes","2023","2023","t","669100","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01620","Tea leaves","2022","2022","kg/ha","10709.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01620","Tea leaves","2022","2022","t","2418200","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01620","Tea leaves","2023","2023","kg/ha","11316.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01620","Tea leaves","2023","2023","t","2577800","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01234","Tomatoes","2022","2022","kg/ha","21764.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01234","Tomatoes","2022","2022","t","616600","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01234","Tomatoes","2023","2023","kg/ha","18746.8","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01234","Tomatoes","2023","2023","t","582500","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0111","Wheat","2022","2022","kg/ha","3083.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","0111","Wheat","2022","2022","t","368696","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0111","Wheat","2023","2023","kg/ha","2963.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","0111","Wheat","2023","2023","t","309492","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01540","Yams","2022","2022","kg/ha","7978.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01540","Yams","2022","2022","t","6000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01540","Yams","2023","2023","kg/ha","8184.5","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01540","Yams","2023","2023","t","5544.1","I","Imputed value",""
