Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01929.07","Abaca, manila hemp, raw","2023","2023","kg/ha","1154","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01929.07","Abaca, manila hemp, raw","2023","2023","t","51.93","I","Imputed value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","kg/ha","15362.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","t","18527","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01341","Apples","2023","2023","kg/ha","2879.1","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01341","Apples","2023","2023","t","788.86","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01343","Apricots","2023","2023","kg/ha","4743.6","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01343","Apricots","2023","2023","t","77.22","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01216","Artichokes","2023","2023","kg/ha","5293.1","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01216","Artichokes","2023","2023","t","26.85","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01211","Asparagus","2023","2023","kg/ha","5714.3","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01211","Asparagus","2023","2023","t","400","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01311","Avocados","2023","2023","kg/ha","16222.3","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01311","Avocados","2023","2023","t","542277.78","I","Imputed value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01312","Bananas","2023","2023","kg/ha","36682","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01312","Bananas","2023","2023","t","2906900","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0115","Barley","2023","2023","kg/ha","2473.4","A","Official figure",""
